,country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,gdp_for_year ($),gdp_per_capita ($),generation
71,Albania,1994,female,5-14 years,0,344400,0.0,Albania1994,1985673798.0,697,Millenials
72,Albania,1995,male,25-34 years,13,232900,5.58,Albania1995,2424499009.0,835,Generation X
73,Albania,1995,male,55-74 years,9,178000,5.06,Albania1995,2424499009.0,835,Silent
74,Albania,1995,female,75+ years,2,40800,4.9,Albania1995,2424499009.0,835,G.I. Generation
75,Albania,1995,female,15-24 years,13,283500,4.59,Albania1995,2424499009.0,835,Generation X
76,Albania,1995,male,15-24 years,11,241200,4.56,Albania1995,2424499009.0,835,Generation X
77,Albania,1995,male,75+ years,1,25100,3.98,Albania1995,2424499009.0,835,G.I. Generation
78,Albania,1995,male,35-54 years,14,375900,3.72,Albania1995,2424499009.0,835,Boomers
79,Albania,1995,female,25-34 years,7,264000,2.65,Albania1995,2424499009.0,835,Generation X
80,Albania,1995,female,35-54 years,8,356400,2.24,Albania1995,2424499009.0,835,Boomers
81,Albania,1995,male,5-14 years,6,376500,1.59,Albania1995,2424499009.0,835,Millenials
82,Albania,1995,female,55-74 years,2,180400,1.11,Albania1995,2424499009.0,835,Silent
83,Albania,1995,female,5-14 years,2,348700,0.57,Albania1995,2424499009.0,835,Millenials
84,Albania,1996,male,75+ years,2,25400,7.87,Albania1996,3314898292.0,1127,G.I. Generation
85,Albania,1996,male,15-24 years,17,243600,6.98,Albania1996,3314898292.0,1127,Generation X
86,Albania,1996,male,25-34 years,14,235300,5.95,Albania1996,3314898292.0,1127,Generation X
87,Albania,1996,female,15-24 years,16,287700,5.56,Albania1996,3314898292.0,1127,Generation X
88,Albania,1996,female,75+ years,2,41200,4.85,Albania1996,3314898292.0,1127,G.I. Generation
89,Albania,1996,female,25-34 years,10,267900,3.73,Albania1996,3314898292.0,1127,Generation X
90,Albania,1996,male,35-54 years,12,379600,3.16,Albania1996,3314898292.0,1127,Boomers
91,Albania,1996,female,35-54 years,9,362000,2.49,Albania1996,3314898292.0,1127,Boomers
92,Albania,1996,male,55-74 years,3,179900,1.67,Albania1996,3314898292.0,1127,Silent
93,Albania,1996,female,55-74 years,1,183100,0.55,Albania1996,3314898292.0,1127,Silent
94,Albania,1996,male,5-14 years,2,380400,0.53,Albania1996,3314898292.0,1127,Millenials
95,Albania,1996,female,5-14 years,1,354100,0.28,Albania1996,3314898292.0,1127,Millenials
96,Albania,1997,male,25-34 years,36,236000,15.25,Albania1997,2359903108.0,793,Generation X
97,Albania,1997,male,15-24 years,33,244400,13.5,Albania1997,2359903108.0,793,Generation X
98,Albania,1997,male,75+ years,3,25400,11.81,Albania1997,2359903108.0,793,G.I. Generation
99,Albania,1997,male,35-54 years,30,380800,7.88,Albania1997,2359903108.0,793,Boomers
100,Albania,1997,female,15-24 years,21,294000,7.14,Albania1997,2359903108.0,793,Generation X
101,Albania,1997,male,55-74 years,12,180300,6.66,Albania1997,2359903108.0,793,Silent
102,Albania,1997,female,25-34 years,16,273900,5.84,Albania1997,2359903108.0,793,Generation X
103,Albania,1997,female,75+ years,2,42100,4.75,Albania1997,2359903108.0,793,G.I. Generation
104,Albania,1997,female,35-54 years,7,370100,1.89,Albania1997,2359903108.0,793,Boomers
105,Albania,1997,female,5-14 years,6,361800,1.66,Albania1997,2359903108.0,793,Millenials
106,Albania,1997,male,5-14 years,4,381500,1.05,Albania1997,2359903108.0,793,Millenials
107,Albania,1997,female,55-74 years,0,187000,0.0,Albania1997,2359903108.0,793,Silent
108,Albania,1998,male,75+ years,3,25800,11.63,Albania1998,2707123772.0,899,G.I. Generation
109,Albania,1998,male,15-24 years,27,248800,10.85,Albania1998,2707123772.0,899,Generation X
110,Albania,1998,female,15-24 years,32,295600,10.83,Albania1998,2707123772.0,899,Generation X
111,Albania,1998,male,25-34 years,26,240400,10.82,Albania1998,2707123772.0,899,Generation X
112,Albania,1998,male,35-54 years,29,388200,7.47,Albania1998,2707123772.0,899,Boomers
113,Albania,1998,male,55-74 years,9,183800,4.9,Albania1998,2707123772.0,899,Silent
114,Albania,1998,female,25-34 years,10,275300,3.63,Albania1998,2707123772.0,899,Generation X
115,Albania,1998,female,55-74 years,6,188200,3.19,Albania1998,2707123772.0,899,Silent
116,Albania,1998,female,35-54 years,9,372100,2.42,Albania1998,2707123772.0,899,Boomers
117,Albania,1998,male,5-14 years,2,388400,0.51,Albania1998,2707123772.0,899,Millenials
118,Albania,1998,female,5-14 years,1,363800,0.27,Albania1998,2707123772.0,899,Millenials
119,Albania,1998,female,75+ years,0,42300,0.0,Albania1998,2707123772.0,899,G.I. Generation
120,Albania,1999,male,75+ years,3,25900,11.58,Albania1999,3414760915.0,1127,G.I. Generation
121,Albania,1999,male,15-24 years,24,250600,9.58,Albania1999,3414760915.0,1127,Generation X
122,Albania,1999,female,75+ years,4,42400,9.43,Albania1999,3414760915.0,1127,G.I. Generation
123,Albania,1999,male,35-54 years,31,391100,7.93,Albania1999,3414760915.0,1127,Boomers
124,Albania,1999,male,25-34 years,19,242300,7.84,Albania1999,3414760915.0,1127,Generation X
125,Albania,1999,male,55-74 years,14,185200,7.56,Albania1999,3414760915.0,1127,Silent
126,Albania,1999,female,15-24 years,19,296800,6.4,Albania1999,3414760915.0,1127,Generation X
127,Albania,1999,female,25-34 years,13,276500,4.7,Albania1999,3414760915.0,1127,Generation X
128,Albania,1999,female,55-74 years,6,188800,3.18,Albania1999,3414760915.0,1127,Silent
129,Albania,1999,female,35-54 years,5,373600,1.34,Albania1999,3414760915.0,1127,Boomers
130,Albania,1999,female,5-14 years,1,365200,0.27,Albania1999,3414760915.0,1127,Millenials
131,Albania,1999,male,5-14 years,0,391300,0.0,Albania1999,3414760915.0,1127,Millenials
132,Albania,2000,male,25-34 years,17,232000,7.33,Albania2000,3632043908.0,1299,Generation X
133,Albania,2000,male,55-74 years,10,177400,5.64,Albania2000,3632043908.0,1299,Silent
134,Albania,2000,female,75+ years,2,37800,5.29,Albania2000,3632043908.0,1299,G.I. Generation
135,Albania,2000,male,75+ years,1,24900,4.02,Albania2000,3632043908.0,1299,G.I. Generation
136,Albania,2000,female,15-24 years,6,263900,2.27,Albania2000,3632043908.0,1299,Generation X
137,Albania,2000,male,15-24 years,5,240000,2.08,Albania2000,3632043908.0,1299,Generation X
138,Albania,2000,female,35-54 years,5,332200,1.51,Albania2000,3632043908.0,1299,Boomers
139,Albania,2000,female,25-34 years,3,245800,1.22,Albania2000,3632043908.0,1299,Generation X
140,Albania,2000,male,35-54 years,4,374700,1.07,Albania2000,3632043908.0,1299,Boomers
141,Albania,2000,male,5-14 years,1,374900,0.27,Albania2000,3632043908.0,1299,Millenials
142,Albania,2000,female,5-14 years,0,324700,0.0,Albania2000,3632043908.0,1299,Millenials
143,Albania,2000,female,55-74 years,0,168000,0.0,Albania2000,3632043908.0,1299,Silent
144,Albania,2001,male,25-34 years,22,206484,10.65,Albania2001,4060758804.0,1451,Generation X
145,Albania,2001,male,35-54 years,34,378826,8.98,Albania2001,4060758804.0,1451,Boomers
146,Albania,2001,male,55-74 years,11,196670,5.59,Albania2001,4060758804.0,1451,Silent
147,Albania,2001,female,75+ years,2,47254,4.23,Albania2001,4060758804.0,1451,Silent
148,Albania,2001,male,15-24 years,10,256039,3.91,Albania2001,4060758804.0,1451,Millenials
149,Albania,2001,female,15-24 years,9,271359,3.32,Albania2001,4060758804.0,1451,Millenials
150,Albania,2001,female,35-54 years,12,370191,3.24,Albania2001,4060758804.0,1451,Boomers
151,Albania,2001,male,75+ years,1,31044,3.22,Albania2001,4060758804.0,1451,Silent
152,Albania,2001,female,55-74 years,6,189799,3.16,Albania2001,4060758804.0,1451,Silent
153,Albania,2001,male,5-14 years,6,321556,1.87,Albania2001,4060758804.0,1451,Millenials
154,Albania,2001,female,25-34 years,4,222771,1.8,Albania2001,4060758804.0,1451,Generation X
155,Albania,2001,female,5-14 years,2,307356,0.65,Albania2001,4060758804.0,1451,Millenials
156,Albania,2002,male,75+ years,4,31007,12.9,Albania2002,4435078648.0,1573,Silent
157,Albania,2002,male,25-34 years,23,206286,11.15,Albania2002,4435078648.0,1573,Generation X
158,Albania,2002,male,35-54 years,35,382139,9.16,Albania2002,4435078648.0,1573,Boomers
159,Albania,2002,male,55-74 years,13,198130,6.56,Albania2002,4435078648.0,1573,Silent
160,Albania,2002,male,15-24 years,15,263067,5.7,Albania2002,4435078648.0,1573,Millenials
161,Albania,2002,female,15-24 years,14,275970,5.07,Albania2002,4435078648.0,1573,Millenials
162,Albania,2002,female,35-54 years,15,375113,4.0,Albania2002,4435078648.0,1573,Boomers
163,Albania,2002,female,25-34 years,7,223685,3.13,Albania2002,4435078648.0,1573,Generation X
164,Albania,2002,female,75+ years,1,47407,2.11,Albania2002,4435078648.0,1573,Silent
165,Albania,2002,female,55-74 years,4,191712,2.09,Albania2002,4435078648.0,1573,Silent
166,Albania,2002,female,5-14 years,1,304850,0.33,Albania2002,4435078648.0,1573,Millenials
167,Albania,2002,male,5-14 years,1,319473,0.31,Albania2002,4435078648.0,1573,Millenials
168,Albania,2003,female,75+ years,6,49088,12.22,Albania2003,5746945913.0,2021,Silent
169,Albania,2003,male,55-74 years,16,201520,7.94,Albania2003,5746945913.0,2021,Silent
170,Albania,2003,male,35-54 years,28,386196,7.25,Albania2003,5746945913.0,2021,Boomers
171,Albania,2003,male,15-24 years,15,273235,5.49,Albania2003,5746945913.0,2021,Millenials
172,Albania,2003,female,15-24 years,14,283709,4.93,Albania2003,5746945913.0,2021,Millenials
173,Albania,2003,female,55-74 years,9,195699,4.6,Albania2003,5746945913.0,2021,Silent
174,Albania,2003,male,25-34 years,9,205433,4.38,Albania2003,5746945913.0,2021,Generation X
175,Albania,2003,female,25-34 years,9,222941,4.04,Albania2003,5746945913.0,2021,Generation X
176,Albania,2003,female,35-54 years,13,381760,3.41,Albania2003,5746945913.0,2021,Boomers
177,Albania,2003,male,75+ years,1,32667,3.06,Albania2003,5746945913.0,2021,Silent
178,Albania,2003,male,5-14 years,4,313204,1.28,Albania2003,5746945913.0,2021,Millenials
179,Albania,2003,female,5-14 years,0,298477,0.0,Albania2003,5746945913.0,2021,Millenials
180,Albania,2004,male,75+ years,4,35526,11.26,Albania2004,7314865176.0,2544,Silent
181,Albania,2004,male,35-54 years,39,391767,9.95,Albania2004,7314865176.0,2544,Boomers
182,Albania,2004,male,25-34 years,16,203938,7.85,Albania2004,7314865176.0,2544,Generation X
183,Albania,2004,female,15-24 years,20,292268,6.84,Albania2004,7314865176.0,2544,Millenials
184,Albania,2004,male,15-24 years,19,286768,6.63,Albania2004,7314865176.0,2544,Millenials
185,Albania,2004,female,75+ years,3,50970,5.89,Albania2004,7314865176.0,2544,Silent
186,Albania,2004,female,25-34 years,11,222389,4.95,Albania2004,7314865176.0,2544,Generation X
187,Albania,2004,male,55-74 years,10,207202,4.83,Albania2004,7314865176.0,2544,Silent
188,Albania,2004,female,35-54 years,17,391436,4.34,Albania2004,7314865176.0,2544,Boomers
189,Albania,2004,female,55-74 years,3,203841,1.47,Albania2004,7314865176.0,2544,Silent
190,Albania,2004,female,5-14 years,3,286705,1.05,Albania2004,7314865176.0,2544,Millenials
191,Albania,2004,male,5-14 years,1,302181,0.33,Albania2004,7314865176.0,2544,Millenials
192,Albania,2005,female,15-24 years,0,281922,0.0,Albania2005,8158548717.0,2931,Millenials
193,Albania,2005,female,25-34 years,0,190745,0.0,Albania2005,8158548717.0,2931,Generation X
194,Albania,2005,female,35-54 years,0,386513,0.0,Albania2005,8158548717.0,2931,Boomers
195,Albania,2005,female,5-14 years,0,276559,0.0,Albania2005,8158548717.0,2931,Millenials
196,Albania,2005,female,55-74 years,0,210998,0.0,Albania2005,8158548717.0,2931,Silent
197,Albania,2005,female,75+ years,0,53191,0.0,Albania2005,8158548717.0,2931,Silent
198,Albania,2005,male,15-24 years,0,281675,0.0,Albania2005,8158548717.0,2931,Millenials
199,Albania,2005,male,25-34 years,0,177519,0.0,Albania2005,8158548717.0,2931,Generation X
200,Albania,2005,male,35-54 years,0,380242,0.0,Albania2005,8158548717.0,2931,Boomers
201,Albania,2005,male,5-14 years,0,291367,0.0,Albania2005,8158548717.0,2931,Millenials
202,Albania,2005,male,55-74 years,0,214118,0.0,Albania2005,8158548717.0,2931,Silent
203,Albania,2005,male,75+ years,0,38471,0.0,Albania2005,8158548717.0,2931,Silent
204,Albania,2006,female,15-24 years,0,283138,0.0,Albania2006,8992642349.0,3235,Millenials
205,Albania,2006,female,25-34 years,0,186391,0.0,Albania2006,8992642349.0,3235,Generation X
206,Albania,2006,female,35-54 years,0,388746,0.0,Albania2006,8992642349.0,3235,Boomers
207,Albania,2006,female,5-14 years,0,267316,0.0,Albania2006,8992642349.0,3235,Millenials
208,Albania,2006,female,55-74 years,0,215907,0.0,Albania2006,8992642349.0,3235,Silent
209,Albania,2006,female,75+ years,0,56011,0.0,Albania2006,8992642349.0,3235,Silent
210,Albania,2006,male,15-24 years,0,286679,0.0,Albania2006,8992642349.0,3235,Millenials
211,Albania,2006,male,25-34 years,0,174092,0.0,Albania2006,8992642349.0,3235,Generation X
212,Albania,2006,male,35-54 years,0,379076,0.0,Albania2006,8992642349.0,3235,Boomers
213,Albania,2006,male,5-14 years,0,282678,0.0,Albania2006,8992642349.0,3235,Millenials
214,Albania,2006,male,55-74 years,0,219360,0.0,Albania2006,8992642349.0,3235,Silent
215,Albania,2006,male,75+ years,0,40782,0.0,Albania2006,8992642349.0,3235,Silent
216,Albania,2007,male,75+ years,8,42366,18.88,Albania2007,10701011897.0,3863,Silent
217,Albania,2007,male,35-54 years,29,378626,7.66,Albania2007,10701011897.0,3863,Boomers
218,Albania,2007,male,55-74 years,14,224160,6.25,Albania2007,10701011897.0,3863,Silent
219,Albania,2007,female,75+ years,3,57404,5.23,Albania2007,10701011897.0,3863,Silent
220,Albania,2007,male,25-34 years,9,172494,5.22,Albania2007,10701011897.0,3863,Generation X
221,Albania,2007,female,15-24 years,13,281080,4.63,Albania2007,10701011897.0,3863,Millenials
222,Albania,2007,male,15-24 years,13,288349,4.51,Albania2007,10701011897.0,3863,Millenials
223,Albania,2007,female,25-34 years,8,183629,4.36,Albania2007,10701011897.0,3863,Generation X
224,Albania,2007,female,55-74 years,9,221120,4.07,Albania2007,10701011897.0,3863,Silent
225,Albania,2007,female,35-54 years,14,391811,3.57,Albania2007,10701011897.0,3863,Boomers
226,Albania,2007,male,5-14 years,4,272497,1.47,Albania2007,10701011897.0,3863,Generation Z
227,Albania,2007,female,5-14 years,0,256808,0.0,Albania2007,10701011897.0,3863,Generation Z
228,Albania,2008,male,25-34 years,21,172855,12.15,Albania2008,12881352688.0,4672,Generation X
229,Albania,2008,male,35-54 years,37,377119,9.81,Albania2008,12881352688.0,4672,Boomers
230,Albania,2008,male,55-74 years,21,228672,9.18,Albania2008,12881352688.0,4672,Silent
231,Albania,2008,female,75+ years,5,59369,8.42,Albania2008,12881352688.0,4672,Silent
232,Albania,2008,female,15-24 years,20,276073,7.24,Albania2008,12881352688.0,4672,Millenials
233,Albania,2008,female,25-34 years,9,182663,4.93,Albania2008,12881352688.0,4672,Generation X
234,Albania,2008,female,35-54 years,19,393832,4.82,Albania2008,12881352688.0,4672,Boomers
235,Albania,2008,male,75+ years,2,44574,4.49,Albania2008,12881352688.0,4672,Silent
236,Albania,2008,male,15-24 years,11,286702,3.84,Albania2008,12881352688.0,4672,Millenials
237,Albania,2008,female,55-74 years,7,226448,3.09,Albania2008,12881352688.0,4672,Silent
238,Albania,2008,male,5-14 years,7,262464,2.67,Albania2008,12881352688.0,4672,Generation Z
239,Albania,2008,female,5-14 years,1,246288,0.41,Albania2008,12881352688.0,4672,Generation Z
324,Antigua and Barbuda,1990,male,35-54 years,1,5799,17.24,Antigua and Barbuda1990,459469074.0,7744,Silent
325,Antigua and Barbuda,1990,female,15-24 years,0,6827,0.0,Antigua and Barbuda1990,459469074.0,7744,Generation X
326,Antigua and Barbuda,1990,female,25-34 years,0,6172,0.0,Antigua and Barbuda1990,459469074.0,7744,Boomers
327,Antigua and Barbuda,1990,female,35-54 years,0,5895,0.0,Antigua and Barbuda1990,459469074.0,7744,Silent
328,Antigua and Barbuda,1990,female,5-14 years,0,6877,0.0,Antigua and Barbuda1990,459469074.0,7744,Generation X
329,Antigua and Barbuda,1990,female,55-74 years,0,3706,0.0,Antigua and Barbuda1990,459469074.0,7744,G.I. Generation
330,Antigua and Barbuda,1990,female,75+ years,0,1252,0.0,Antigua and Barbuda1990,459469074.0,7744,G.I. Generation
331,Antigua and Barbuda,1990,male,15-24 years,0,6598,0.0,Antigua and Barbuda1990,459469074.0,7744,Generation X
332,Antigua and Barbuda,1990,male,25-34 years,0,5937,0.0,Antigua and Barbuda1990,459469074.0,7744,Boomers
333,Antigua and Barbuda,1990,male,5-14 years,0,6611,0.0,Antigua and Barbuda1990,459469074.0,7744,Generation X
334,Antigua and Barbuda,1990,male,55-74 years,0,2902,0.0,Antigua and Barbuda1990,459469074.0,7744,G.I. Generation
335,Antigua and Barbuda,1990,male,75+ years,0,758,0.0,Antigua and Barbuda1990,459469074.0,7744,G.I. Generation
336,Antigua and Barbuda,1991,female,15-24 years,0,6595,0.0,Antigua and Barbuda1991,481706333.0,7976,Generation X
337,Antigua and Barbuda,1991,female,25-34 years,0,6396,0.0,Antigua and Barbuda1991,481706333.0,7976,Boomers
338,Antigua and Barbuda,1991,female,35-54 years,0,6198,0.0,Antigua and Barbuda1991,481706333.0,7976,Boomers
339,Antigua and Barbuda,1991,female,5-14 years,0,7089,0.0,Antigua and Barbuda1991,481706333.0,7976,Millenials
340,Antigua and Barbuda,1991,female,55-74 years,0,3665,0.0,Antigua and Barbuda1991,481706333.0,7976,Silent
341,Antigua and Barbuda,1991,female,75+ years,0,1293,0.0,Antigua and Barbuda1991,481706333.0,7976,G.I. Generation
342,Antigua and Barbuda,1991,male,15-24 years,0,6401,0.0,Antigua and Barbuda1991,481706333.0,7976,Generation X
343,Antigua and Barbuda,1991,male,25-34 years,0,6156,0.0,Antigua and Barbuda1991,481706333.0,7976,Boomers
344,Antigua and Barbuda,1991,male,35-54 years,0,6122,0.0,Antigua and Barbuda1991,481706333.0,7976,Boomers
345,Antigua and Barbuda,1991,male,5-14 years,0,6818,0.0,Antigua and Barbuda1991,481706333.0,7976,Millenials
346,Antigua and Barbuda,1991,male,55-74 years,0,2857,0.0,Antigua and Barbuda1991,481706333.0,7976,Silent
347,Antigua and Barbuda,1991,male,75+ years,0,804,0.0,Antigua and Barbuda1991,481706333.0,7976,G.I. Generation
348,Antigua and Barbuda,1992,female,15-24 years,0,6369,0.0,Antigua and Barbuda1992,499281148.0,8087,Generation X
349,Antigua and Barbuda,1992,female,25-34 years,0,6650,0.0,Antigua and Barbuda1992,499281148.0,8087,Boomers
350,Antigua and Barbuda,1992,female,35-54 years,0,6534,0.0,Antigua and Barbuda1992,499281148.0,8087,Boomers
351,Antigua and Barbuda,1992,female,5-14 years,0,7311,0.0,Antigua and Barbuda1992,499281148.0,8087,Millenials
352,Antigua and Barbuda,1992,female,55-74 years,0,3648,0.0,Antigua and Barbuda1992,499281148.0,8087,Silent
353,Antigua and Barbuda,1992,female,75+ years,0,1339,0.0,Antigua and Barbuda1992,499281148.0,8087,G.I. Generation
354,Antigua and Barbuda,1992,male,15-24 years,0,6221,0.0,Antigua and Barbuda1992,499281148.0,8087,Generation X
355,Antigua and Barbuda,1992,male,25-34 years,0,6409,0.0,Antigua and Barbuda1992,499281148.0,8087,Boomers
356,Antigua and Barbuda,1992,male,35-54 years,0,6497,0.0,Antigua and Barbuda1992,499281148.0,8087,Boomers
357,Antigua and Barbuda,1992,male,5-14 years,0,7059,0.0,Antigua and Barbuda1992,499281148.0,8087,Millenials
358,Antigua and Barbuda,1992,male,55-74 years,0,2851,0.0,Antigua and Barbuda1992,499281148.0,8087,Silent
359,Antigua and Barbuda,1992,male,75+ years,0,853,0.0,Antigua and Barbuda1992,499281148.0,8087,G.I. Generation
360,Antigua and Barbuda,1993,male,25-34 years,1,6668,15.0,Antigua and Barbuda1993,535172778.0,8453,Boomers
361,Antigua and Barbuda,1993,female,15-24 years,0,6182,0.0,Antigua and Barbuda1993,535172778.0,8453,Generation X
362,Antigua and Barbuda,1993,female,25-34 years,0,6914,0.0,Antigua and Barbuda1993,535172778.0,8453,Boomers
363,Antigua and Barbuda,1993,female,35-54 years,0,6917,0.0,Antigua and Barbuda1993,535172778.0,8453,Boomers
364,Antigua and Barbuda,1993,female,5-14 years,0,7529,0.0,Antigua and Barbuda1993,535172778.0,8453,Millenials
365,Antigua and Barbuda,1993,female,55-74 years,0,3662,0.0,Antigua and Barbuda1993,535172778.0,8453,Silent
366,Antigua and Barbuda,1993,female,75+ years,0,1386,0.0,Antigua and Barbuda1993,535172778.0,8453,G.I. Generation
367,Antigua and Barbuda,1993,male,15-24 years,0,6069,0.0,Antigua and Barbuda1993,535172778.0,8453,Generation X
368,Antigua and Barbuda,1993,male,35-54 years,0,6915,0.0,Antigua and Barbuda1993,535172778.0,8453,Boomers
369,Antigua and Barbuda,1993,male,5-14 years,0,7298,0.0,Antigua and Barbuda1993,535172778.0,8453,Millenials
370,Antigua and Barbuda,1993,male,55-74 years,0,2879,0.0,Antigua and Barbuda1993,535172778.0,8453,Silent
371,Antigua and Barbuda,1993,male,75+ years,0,896,0.0,Antigua and Barbuda1993,535172778.0,8453,G.I. Generation
372,Antigua and Barbuda,1994,female,15-24 years,0,6083,0.0,Antigua and Barbuda1994,589429593.0,9062,Generation X
373,Antigua and Barbuda,1994,female,25-34 years,0,7151,0.0,Antigua and Barbuda1994,589429593.0,9062,Boomers
374,Antigua and Barbuda,1994,female,35-54 years,0,7357,0.0,Antigua and Barbuda1994,589429593.0,9062,Boomers
375,Antigua and Barbuda,1994,female,5-14 years,0,7722,0.0,Antigua and Barbuda1994,589429593.0,9062,Millenials
376,Antigua and Barbuda,1994,female,55-74 years,0,3715,0.0,Antigua and Barbuda1994,589429593.0,9062,Silent
377,Antigua and Barbuda,1994,female,75+ years,0,1437,0.0,Antigua and Barbuda1994,589429593.0,9062,G.I. Generation
378,Antigua and Barbuda,1994,male,15-24 years,0,5976,0.0,Antigua and Barbuda1994,589429593.0,9062,Generation X
379,Antigua and Barbuda,1994,male,25-34 years,0,6886,0.0,Antigua and Barbuda1994,589429593.0,9062,Boomers
380,Antigua and Barbuda,1994,male,35-54 years,0,7359,0.0,Antigua and Barbuda1994,589429593.0,9062,Boomers
381,Antigua and Barbuda,1994,male,5-14 years,0,7494,0.0,Antigua and Barbuda1994,589429593.0,9062,Millenials
382,Antigua and Barbuda,1994,male,55-74 years,0,2935,0.0,Antigua and Barbuda1994,589429593.0,9062,Silent
383,Antigua and Barbuda,1994,male,75+ years,0,929,0.0,Antigua and Barbuda1994,589429593.0,9062,G.I. Generation
384,Antigua and Barbuda,1995,female,15-24 years,0,6099,0.0,Antigua and Barbuda1995,577280741.0,8636,Generation X
385,Antigua and Barbuda,1995,female,25-34 years,0,7333,0.0,Antigua and Barbuda1995,577280741.0,8636,Generation X
386,Antigua and Barbuda,1995,female,35-54 years,0,7851,0.0,Antigua and Barbuda1995,577280741.0,8636,Boomers
387,Antigua and Barbuda,1995,female,5-14 years,0,7885,0.0,Antigua and Barbuda1995,577280741.0,8636,Millenials
388,Antigua and Barbuda,1995,female,55-74 years,0,3808,0.0,Antigua and Barbuda1995,577280741.0,8636,Silent
389,Antigua and Barbuda,1995,female,75+ years,0,1488,0.0,Antigua and Barbuda1995,577280741.0,8636,G.I. Generation
390,Antigua and Barbuda,1995,male,15-24 years,0,5953,0.0,Antigua and Barbuda1995,577280741.0,8636,Generation X
391,Antigua and Barbuda,1995,male,25-34 years,0,7023,0.0,Antigua and Barbuda1995,577280741.0,8636,Generation X
392,Antigua and Barbuda,1995,male,35-54 years,0,7809,0.0,Antigua and Barbuda1995,577280741.0,8636,Boomers
393,Antigua and Barbuda,1995,male,5-14 years,0,7632,0.0,Antigua and Barbuda1995,577280741.0,8636,Millenials
394,Antigua and Barbuda,1995,male,55-74 years,0,3021,0.0,Antigua and Barbuda1995,577280741.0,8636,Silent
395,Antigua and Barbuda,1995,male,75+ years,0,944,0.0,Antigua and Barbuda1995,577280741.0,8636,G.I. Generation
396,Antigua and Barbuda,1998,female,15-24 years,0,6529,0.0,Antigua and Barbuda1998,727860593.0,10078,Generation X
